2021-04-06 21:30:45.935138;8.8.4.4;UP
2021-04-06 21:30:45.958304;8.8.8.8;UP
2021-04-06 21:31:01.682325;192.168.1.2;DOWN
2021-04-06 21:31:01.682325;192.168.1.1;DOWN
2021-04-06 21:31:01.682325;192.168.1.3;DOWN
2021-04-06 21:31:01.691218;192.168.1.4;DOWN
2021-04-06 21:31:09.886966;8.8.4.4;UP
2021-04-06 21:31:09.886966;8.8.8.8;UP
2021-04-06 21:31:25.688124;192.168.1.3;DOWN
2021-04-06 21:31:25.688124;192.168.1.2;DOWN
2021-04-06 21:31:25.688124;192.168.1.4;DOWN
2021-04-06 21:31:25.688124;192.168.1.1;DOWN
2021-04-06 21:31:37.772806;8.8.4.4;DOWN
2021-04-06 21:31:37.772806;8.8.8.8;DOWN
2021-04-06 21:31:49.680052;192.168.1.3;DOWN
2021-04-06 21:31:49.680052;192.168.1.1;DOWN
2021-04-06 21:31:49.680052;192.168.1.4;DOWN
2021-04-06 21:31:49.698189;192.168.1.2;DOWN
2021-04-06 21:31:57.854299;8.8.4.4;UP
2021-04-06 21:31:57.863942;8.8.8.8;UP
2021-04-06 21:32:13.670806;192.168.1.1;DOWN
2021-04-06 21:32:13.670806;192.168.1.4;DOWN
2021-04-06 21:32:13.670806;192.168.1.2;DOWN
2021-04-06 21:32:13.685538;192.168.1.3;DOWN
2021-04-06 21:32:21.863777;8.8.4.4;UP
2021-04-06 21:32:21.879057;8.8.8.8;UP
2021-04-06 21:32:37.683385;192.168.1.4;DOWN
2021-04-06 21:32:37.684384;192.168.1.2;DOWN
2021-04-06 21:32:37.685384;192.168.1.3;DOWN
2021-04-06 21:32:37.687386;192.168.1.1;DOWN
2021-04-06 21:32:45.884123;8.8.4.4;UP
2021-04-06 21:32:45.889924;8.8.8.8;UP
2021-04-06 21:33:01.682432;192.168.1.1;DOWN
2021-04-06 21:33:01.683433;192.168.1.4;DOWN
2021-04-06 21:33:01.684437;192.168.1.3;DOWN
2021-04-06 21:33:01.686433;192.168.1.2;DOWN
2021-04-06 21:33:09.872289;8.8.4.4;UP
2021-04-06 21:33:09.880164;8.8.8.8;UP
2021-04-06 21:33:25.689842;192.168.1.3;DOWN
2021-04-06 21:33:25.689842;192.168.1.4;DOWN
2021-04-06 21:33:25.690836;192.168.1.1;DOWN
2021-04-06 21:33:25.695834;192.168.1.2;DOWN
2021-04-06 21:33:33.886552;8.8.4.4;UP
2021-04-06 21:33:33.888551;8.8.8.8;UP
2021-04-06 21:33:49.685394;192.168.1.4;DOWN
2021-04-06 21:33:49.685394;192.168.1.3;DOWN
2021-04-06 21:33:49.687396;192.168.1.2;DOWN
2021-04-06 21:33:49.689395;192.168.1.1;DOWN
2021-04-06 21:33:57.861049;8.8.4.4;UP
2021-04-06 21:33:57.867004;8.8.8.8;UP
2021-04-06 21:34:13.746589;192.168.1.4;DOWN
2021-04-06 21:34:13.762223;192.168.1.1;DOWN
2021-04-06 21:34:13.762223;192.168.1.2;DOWN
2021-04-06 21:34:13.762223;192.168.1.3;DOWN
2021-04-06 21:34:21.978178;8.8.4.4;UP
2021-04-06 21:34:21.999839;8.8.8.8;UP
2021-04-06 21:34:27.697371;192.168.1.1;DOWN
2021-04-06 21:34:27.699373;192.168.1.4;DOWN
2021-04-06 21:34:27.702053;192.168.1.3;DOWN
2021-04-06 21:34:27.702053;192.168.1.2;DOWN
